Program Code,Program,seq,PSLOID,Program Outcome
CS_DMP,"Digital Media Production, Certificate of Specialization",3,CS_DMP_PSLO3,"Demonstrate the ability to identify the purpose, audience, and audience needs for preparing images."
CC_DRB,"Drama Basics, Certificate of Completion",1,CC_DRB_PSLO1,Demonstrate the skills and experience required to take part in basic acting and technical theater activities.
CC_DRB,"Drama Basics, Certificate of Completion",2,CC_DRB_PSLO2,"Independently recall and perform best practices while participating in work activities alone or with faculty, managers, staff, students, or customers."
CS_DPV,"Drone Photography and Videography, Certificate of Specialization",1,CS_DPV_PSLO1,"Integrate advanced drone operation with digital media management skills to create, edit, and optimize aerial photography and videography across multiple sectors. Leveraging high-end equipment and software such as Adobe Photoshop and Adobe Premiere, students will apply image and video editing techniques. Furthermore, students will exhibit foundational knowledge of FAA regulations pertinent to Unmanned Aircraft Systems, ensuring responsible and lawful media capture."
CS_DRE,"Drones in Real Estate, Certificate of Specialization",1,CS_DRE_PSLO1,"Demonstrate proficiency operating drones for aerial capture in compliance with Federal Aviation Administration (FAA) guidelines, evaluate real estate properties using drone-captured data for more precise appraisals, and skillfully integrate this media into comprehensive marketing campaigns using advanced digital editing techniques."
AAT_ECO,"Economics, Associate in Arts Degree for Transfer",1,AAT_ECO_PSLO1,"Apply fundamental economic concepts and standard economic models to explain the interaction of the major components of the American economy regarding relevant economic issues â€“ i.e., output, employment, growth, inflation, and stabilization policy â€“ in both the short and long run. "
AAT_ECO,"Economics, Associate in Arts Degree for Transfer",2,AAT_ECO_PSLO2,"Select appropriate models, concepts, and methods of analysis to apply to quantitative and qualitative problem situations while communicating the economic logic upon which the solution is based. "
AA_ECO,"Economics, Associate of Arts Degree",1,AA_ECO_PSLO1,"Apply the economic problem of scarcity and how it relates to choice, opportunity cost, and marginal decision making for individuals and society."
AA_ECO,"Economics, Associate of Arts Degree",2,AA_ECO_PSLO2,"Use supply and demand models to analyze markets, evaluate fluctuations, and determine changes in prices."
AA_ECO,"Economics, Associate of Arts Degree",3,AA_ECO_PSLO3,"Quantitatively analyze economic activity of individuals, firms, and the public sector."
CA_ECE,"Educational Studies: ECE Unit Concentration, Certificate of Achievement",1,CA_ECE_PSLO1,Apply certificate courses towards entry into a teaching credential program and/or to fulfill requirements for a selected child development permit or an employment setting requiring ECE units.
CA_ECE,"Educational Studies: ECE Unit Concentration, Certificate of Achievement",2,CA_ECE_PSLO2,"Upon completion of 16 ECE units, the student will be able to document the acquisition of foundational knowledge and skills (as related to courses selected for the purpose of this certificate), relevant for employment as a teacher assistant or support staff in an early childhood education classroom or related environment."
CA_EDG,"Educational Studies: General, Certificate of Achievement",1,CA_EDG_PSLO1,"Work effectively with students, teachers, parents, colleagues, and administrators in a school and classroom setting."
CA_EDG,"Educational Studies: General, Certificate of Achievement",2,CA_EDG_PSLO2,"Apply knowledge, skills, and experience to make an informed choice to be employed or to continue study in the field of education."
